flight_id,date,airline,origin,destination,dep_delay,arr_delay,distance,day_of_week,month,hour,cancelled,diverted,weather_delay,carrier_delay,nas_delay,late_aircraft_delay,is_delayed
558,2022-01-01,United,MCO,PHX,16.5,6.0,2140,6,1,14,0,0,5.0,4.1,3.3,4.1,0.0
741,2022-01-01,Southwest,MDW,EWR,2.7,13.0,1360,6,1,19,0,0,0.8,0.7,0.5,0.7,0.0
2328,2022-01-01,American,BOS,EWR,-14.1,-14.3,2106,6,1,15,0,0,0.0,0.0,0.0,0.0,0.0
2477,2022-01-01,American,MIA,ORD,20.4,8.2,307,6,1,12,0,0,6.1,5.1,4.1,5.1,0.0
2688,2022-01-01,Frontier,SEA,SLC,46.6,56.1,1978,6,1,5,0,0,14.0,17.7,9.3,5.6,1.0
4638,2022-01-01,American,DTW,SEA,-6.5,-1.5,382,6,1,12,0,0,0.0,0.0,0.0,0.0,0.0
4761,2022-01-01,Delta,JFK,ORD,10.1,37.5,2056,6,1,12,0,0,3.0,2.5,2.0,2.5,1.0
4895,2022-01-01,Spirit,TPA,CLT,30.9,35.7,889,6,1,16,0,0,9.3,12.4,6.2,3.1,1.0
5737,2022-01-01,Southwest,MCO,DEN,15.0,11.1,1640,6,1,9,0,0,4.5,3.8,3.0,3.7,0.0
7244,2022-01-01,United,LAX,DEN,-3.5,-1.7,1693,6,1,18,0,0,0.0,0.0,0.0,0.0,0.0
8297,2022-01-01,United,MCO,FLL,25.7,14.3,911,6,1,16,0,0,7.7,6.4,5.1,6.4,0.0
8381,2022-01-01,Spirit,AUS,LAX,-1.3,12.7,758,6,1,13,0,0,0.0,0.0,0.0,0.0,0.0
8542,2022-01-01,Delta,STL,SEA,-8.3,-0.9,1434,6,1,12,0,0,0.0,0.0,0.0,0.0,0.0
10402,2022-01-01,Alaska,LAX,ATL,67.7,74.4,2603,6,1,19,0,0,20.3,16.9,13.5,16.9,1.0
12054,2022-01-01,Southwest,ORD,MSP,43.2,35.4,721,6,1,13,0,0,13.0,10.8,8.6,10.8,1.0
13057,2022-01-01,American,PHX,MCO,4.6,-14.7,2290,6,1,15,0,0,1.4,1.2,0.9,1.1,0.0
14713,2022-01-01,American,IAH,FLL,-5.0,-4.9,1081,6,1,14,0,0,0.0,0.0,0.0,0.0,0.0
15129,2022-01-01,Delta,HNL,SFO,6.1,0.1,1453,6,1,21,0,0,1.8,1.5,1.2,1.5,0.0
15135,2022-01-01,Hawaiian,DCA,CLT,23.7,37.8,1629,6,1,10,0,0,7.1,5.9,4.7,5.9,1.0
15413,2022-01-01,American,DEN,LAX,-1.0,-11.1,2088,6,1,1,0,0,0.0,0.0,0.0,0.0,0.0
15795,2022-01-01,Spirit,JFK,PDX,7.5,7.9,749,6,1,6,0,0,2.3,3.0,1.5,0.7,0.0
15893,2022-01-01,American,BWI,AUS,-19.5,-16.3,330,6,1,16,0,0,0.0,0.0,0.0,0.0,0.0
15969,2022-01-01,Southwest,STL,ATL,3.5,19.2,270,6,1,6,0,0,1.0,0.9,0.7,0.9,1.0
19920,2022-01-01,JetBlue,CLT,TPA,-1.7,-11.5,1322,6,1,12,0,0,0.0,0.0,0.0,0.0,0.0
20828,2022-01-01,Allegiant,SFO,JFK,5.0,0.1,380,6,1,16,0,0,1.5,1.8,1.0,0.8,0.0
21545,2022-01-01,American,TPA,STL,4.5,10.2,2295,6,1,18,0,0,1.3,1.1,0.9,1.1,0.0
21752,2022-01-01,American,PDX,BOS,18.4,-0.5,2572,6,1,16,0,0,5.5,4.6,3.7,4.6,0.0
22755,2022-01-01,Alaska,SFO,MDW,-7.7,-9.3,2223,6,1,13,0,0,0.0,0.0,0.0,0.0,0.0
